Name,Price,Kilometers,Fuel
2021 Tata Harrier XZA Plus Dark Edition,Rs. 14.9 Lakh,"55,700",Diesel
2016 Porsche Cayenne Diesel,Rs. 42.5 Lakh,"50,000",Diesel
2021 Tata Harrier XZA Plus Camo,Rs. 14.9 Lakh,"58,000",Diesel
2023 Mercedes-Benz A-Class Limousine 200d,Rs. 36.9 Lakh,"8,900",Diesel
2023 Volkswagen Virtus Topline 1.0 TSI AT,Rs. 14.9 Lakh,"24,000",Petrol
2014 Volvo XC60 Summum D5,Rs. 7.5 Lakh,"1,62,700 ",Diesel
2017 Audi A3 35 TDI Premium,Rs. 9.9 Lakh,"74,000",Diesel
2024 Toyota Vellfire VIP – Executive Lounge Hybrid (Electric + Petrol) Automatic,Rs. 1.3 Crore,"31,000",Hybrid (Electric + Petrol)
2015 Honda City V Diesel,Rs. 4.5 Lakh,"58,000",Diesel
2020 Hyundai Creta SX (O) 1.5 Petrol CVT [2020-2022],Rs. 9.9 Lakh,"75,000",Petrol
2015 Hyundai Creta SX Plus 1.6  Petrol,Rs. 6.75 Lakh,"58,000",Petrol
2023 Kia Carens Luxury (O)1.5 Turbo Petrol DCT 7 STR [2023-2024],Rs. 14.5 Lakh,"18,000",Petrol
2024 Audi Q3 40 TFSI Technology [2022-2024],Rs. 37.5 Lakh,"23,000",Petrol
2023 Volkswagen Taigun Topline 1.0 TSI MT,Rs. 11.9 Lakh,"21,500",Petrol
2013 Hyundai Grand i10 Sportz 1.2 Kappa VTVT [2013-2016],Rs. 3.25 Lakh,"90,374",Petrol
2018 Hyundai Grand i10 Magna AT 1.2 Kappa VTVT,Rs. 4.5 Lakh,"61,526",Petrol
2015 Hyundai i20 Active 1.2 Base,Rs. 4.6 Lakh,"70,818",Petrol
2017 Honda Jazz S Petrol,Rs. 4.5 Lakh,"74,110",Petrol
2022 Hyundai Creta SX (O) 1.5 Diesel AT,Rs. 15.9 Lakh,"40,745",Diesel
2018 Maruti Suzuki Ciaz Alpha 1.4 MT,Rs. 6 Lakh,"76,409",Petrol
2021 Hyundai Alcazar Platinum 7 STR 1.5 Diesel,Rs. 17.25 Lakh,"17,926",Diesel
2023 Hyundai Creta SX 1.5 Petrol CVT,Rs. 13.5 Lakh,"48,242",Petrol
2018 Maruti Suzuki Swift ZXi AMT [2018-2019],Rs. 5.2 Lakh,"60,203",Petrol
2021 Hyundai Creta E 1.5 Diesel [2020-2022],Rs. 10.9 Lakh,"61,870",Diesel
2019 Maruti Suzuki Alto VXI,Rs. 3.25 Lakh,"54,647",Petrol
2021 Toyota Fortuner 4X2 2WD Diesel Turbo Automatic Dual Tone,Rs. 32.5 Lakh,"88,000",Diesel
2015 Hyundai Grand i10 Sportz 1.2 Kappa VTVT [2013-2016],Rs. 4 Lakh,"74,778",Petrol
2017 Hyundai Creta SX Plus 1.6  Petrol,Rs. 7 Lakh,"82,596",Petrol
