o-o,o-j1,o-j5
2023 Mahindra Thar LX Hard Top Diesel MT 4WD,"34,000 km  |  Diesel  |  Adugodi, Bangalore",Rs. 15.35 Lakh
2018 BMW X1 sDrive20d xLine,"71,000 km  |  Diesel  |  Banaswadi, Bangalore",Rs. 23.9 Lakh
2019 BMW 5-Series 530d M Sport [2017-2019],"45,000 km  |  Diesel  |  Banaswadi, Bangalore",Rs. 48 Lakh
2020 Kia Seltos HTX 1.5 [2020-2021],"50,000 km  |  Petrol  |  Nayanda Halli, Bangalore",Rs. 11.95 Lakh
2018 Maruti Suzuki DZire VXi,"64,464 km  |  Petrol  |  Begur, Bangalore",Rs. 5.99 Lakh
2024 BMW X1 sDrive18i M Sport,"45,000 km  |  Petrol  |  Hebbal, Bangalore",Rs. 44.25 Lakh
2021 BMW 3-Series 330i M Sport Edition,"29,000 km  |  Petrol  |  Banaswadi, Bangalore",Rs. 39 Lakh
2018 Maruti Suzuki Ciaz Alpha 1.4 AT,"62,000 km  |  Petrol  |  Adugodi, Bangalore",Rs. 6.9 Lakh
2018 Maruti Suzuki Celerio VXi AMT,"45,434 km  |  Petrol  |  Begur, Bangalore",Rs. 4.75 Lakh
2021 Toyota Innova Crysta GX 2.4 AT 7 STR,"40,445 km  |  Diesel  |  Kengeri Satellite Town, Bangalore",Rs. 22.5 Lakh
2016 BMW 3-Series 320d Luxury Line,"60,590 km  |  Diesel  |  Yelahanka, Bangalore",Rs. 22.5 Lakh
2021 Mahindra Thar LX Hard Top Petrol AT 4WD,"25,629 km  |  Petrol  |  Begur, Bangalore",Rs. 13.49 Lakh
2020 Renault Kwid RXT Opt [2015-2019],"69,808 km  |  Petrol  |  1st phase Girinagar, Bangalore",Rs. 4.25 Lakh
2016 Mahindra XUV500 W6 AT,"76,390 km  |  Diesel  |  Begur, Bangalore",Rs. 8.99 Lakh
2016 Ford Figo Titanium 1.2 Ti-VCT,"49,943 km  |  Petrol  |  1st phase Girinagar, Bangalore",Rs. 4.4 Lakh
2019 Maruti Suzuki Vitara Brezza ZDi+ Dual Tone [2017-2018],"35,000 km  |  Diesel  |  Byatarayanapura, Bangalore",Rs. 9.45 Lakh
2019 Maruti Suzuki DZire VXi AMT,"31,766 km  |  Petrol  |  Begur, Bangalore",Rs. 6.99 Lakh
2023 Mahindra Thar LX Hard Top Diesel AT 4WD [2023],"34,000 km  |  Diesel  |  Byatarayanapura, Bangalore",Rs. 17.5 Lakh
2018 BMW X1 sDrive20d xLine,"50,000 km  |  Diesel  |  Byatarayanapura, Bangalore",Rs. 27.25 Lakh
2023 Toyota Fortuner 4X4 AT 2.8 Diesel,"31,000 km  |  Diesel  |  Byatarayanapura, Bangalore",Rs. 46.95 Lakh
2016 Maruti Suzuki Swift VXi [2014-2017],"45,000 km  |  Petrol  |  Byatarayanapura, Bangalore",Rs. 5.25 Lakh
2023 Mahindra XUV700 AX 7 Diesel AT 7 STR [2023-2024],"25,925 km  |  Diesel  |  Banaswadi, Bangalore",Rs. 22.75 Lakh
2017 Hyundai Eon Magna +,"16,574 km  |  Petrol  |  1st phase Girinagar, Bangalore",Rs. 3.5 Lakh
2024 Maruti Suzuki Wagon R ZXI Plus 1.2 [2023-2025],"18,000 km  |  Petrol  |  Nayanda Halli, Bangalore",Rs. 6.75 Lakh
2023 BMW 5-Series 530i M Sport,"33,000 km  |  Petrol  |  Hebbal, Bangalore",Rs. 57.25 Lakh
2024 Maruti Suzuki Wagon R ZXI Plus 1.2 [2023-2025],"19,000 km  |  Petrol  |  Nayanda Halli, Bangalore",Rs. 6.75 Lakh
2016 Renault Duster 110 PS RxZ AWD,"57,110 km  |  Diesel  |  1st phase Girinagar, Bangalore",Rs. 8 Lakh
2022 Volkswagen Taigun Highline 1.0 TSI MT,"18,000 km  |  Petrol  |  Anand Nagar, Bangalore",Rs. 12.5 Lakh
2018 Hyundai Verna SX 1.6 CRDi,"60,335 km  |  Diesel  |  1st phase Girinagar, Bangalore",Rs. 9 Lakh
2023 Maruti Suzuki Wagon R VXI 1.0 CNG,"33,548 km  |  CNG  |  1st phase Girinagar, Bangalore",Rs. 5.75 Lakh
2022 Hyundai Verna S Plus 1.5 CRDi,"57,000 km  |  Diesel  |  Adugodi, Bangalore",Rs. 9.9 Lakh
2022 Maruti Suzuki Baleno Zeta MT [2022-2023],"27,000 km  |  Petrol  |  Adugodi, Bangalore",Rs. 7.31 Lakh
2017 Mahindra XUV500 W6 AT,"69,880 km  |  Diesel  |  Singasandra, Bangalore",Rs. 9.95 Lakh
2021 Jeep Compass Limited Plus Diesel [2018-2020],"53,105 km  |  Diesel  |  BTM Layout, Bangalore",Rs. 18 Lakh
2022 Kia Seltos HTX 1.5 [2020-2021],"25,278 km  |  Petrol  |  BTM Layout, Bangalore",Rs. 15.5 Lakh
2019 Jeep Compass Limited 2.0 Diesel [2017-2020],"37,347 km  |  Diesel  |  BTM Layout, Bangalore",Rs. 14.95 Lakh
2017 Maruti Suzuki Wagon R VXI AMT,"17,733 km  |  Petrol  |  BTM Layout, Bangalore",Rs. 4.8 Lakh
2021 Hyundai Creta SX (O) 1.5 Diesel Automatic [2020-2022],"80,047 km  |  Diesel  |  BTM Layout, Bangalore",Rs. 17.85 Lakh
2018 Hyundai Verna 1.6 VTVT SX (O),"64,422 km  |  Petrol  |  BTM Layout, Bangalore",Rs. 9.99 Lakh
2017 Volkswagen Polo Comfortline 1.2L (P),"64,637 km  |  Petrol  |  BTM Layout, Bangalore",Rs. 6.85 Lakh
2022 Kia Sonet GTX Plus 1.5 AT [2020-2021],"58,180 km  |  Diesel  |  BTM Layout, Bangalore",Rs. 12.95 Lakh
2018 Hyundai Elite i20 Asta 1.2 CVT,"22,436 km  |  Petrol  |  BTM Layout, Bangalore",Rs. 7.5 Lakh
2020 MG Hector Super 2.0 Diesel [2019-2020],"77,274 km  |  Diesel  |  BTM Layout, Bangalore",Rs. 11.25 Lakh
2022 Toyota Fortuner 4X4 AT 2.8 Diesel,"72,876 km  |  Diesel  |  BTM Layout, Bangalore",Rs. 44.5 Lakh
2018 Volkswagen Polo GT TSI,"72,420 km  |  Petrol  |  BTM Layout, Bangalore",Rs. 9.25 Lakh
2016 Ford Ecosport Titanium 1.5L Ti-VCT AT,"40,000 km  |  Petrol  |  Byatarayanapura, Bangalore",Rs. 6.75 Lakh
2021 Tata Harrier XZA Plus Dark Edition,"8,000 km  |  Diesel  |  Byatarayanapura, Bangalore",Rs. 18.45 Lakh
2017 Maruti Suzuki Vitara Brezza ZDi Plus,"65,000 km  |  Diesel  |  Byatarayanapura, Bangalore",Rs. 8.25 Lakh
