o-o,o-j1,o-j5
2021 Jeep Compass Limited (O) 2.0 Diesel [2017-2020],"31,000 km  |  Diesel  |  Adyar, Chennai",Rs. 15.75 Lakh
2017 Jeep Compass Limited (O) 2.0 Diesel [2017-2020],"70,000 km  |  Diesel  |  Adyar, Chennai",Rs. 12 Lakh
2013 Hyundai Santa Fe 4 WD (AT),"1,05,000 km  |  Diesel  |  Adyar, Chennai",Rs. 9.5 Lakh
2014 Mercedes-Benz GL-Class 350 CDI,"1,10,000 km  |  Diesel  |  Adyar, Chennai",Rs. 31 Lakh
2023 Renault Kwid RXT 1.0 AMT,"26,426 km  |  Petrol  |  Vadapalani, Chennai",Rs. 4.48 Lakh
2021 Land Rover Range Rover Sport HSE 2.0 Petrol,"70,000 km  |  Petrol  |  Adyar, Chennai",Rs. 79 Lakh
2023 Land Rover Range Rover SV LWB 3.0 Diesel,"28,000 km  |  Diesel  |  Adyar, Chennai",Rs. 3.5 Crore
2018 Jaguar XJ 50,"44,000 km  |  Diesel  |  Adyar, Chennai",Rs. 55 Lakh
2016 BMW X3 xDrive 20d Expedition,"53,000 km  |  Diesel  |  Adyar, Chennai",Rs. 33 Lakh
2016 Honda City VX CVT,"67,000 km  |  Petrol  |  Goudiyamath Road, Chennai",Rs. 7.25 Lakh
2019 Honda City VX,"23,000 km  |  Petrol  |  Goudiyamath Road, Chennai",Rs. 8.25 Lakh
2021 Toyota Urban Cruiser High Grade AT,"20,000 km  |  Petrol  |  Goudiyamath Road, Chennai",Rs. 10 Lakh
2018 Maruti Suzuki Vitara Brezza ZDi Plus AGS,"73,745 km  |  Diesel  |  Alandur, Chennai",Rs. 7.38 Lakh
2019 Hyundai Verna Fluidic 1.6 VTVT SX,"24,832 km  |  Petrol  |  Sholinganallur, Chennai",Rs. 8.13 Lakh
2022 Mercedes-Benz E-Class E 220 d Avantgarde,"20,000 km  |  Diesel  |  Anna Road H O, Chennai",Rs. 58 Lakh
2020 Mahindra XUV300 W8 (O) 1.5 Diesel AMT,"17,600 km  |  Diesel  |  T Nagar, Chennai",Rs. 9.25 Lakh
2020 Kia Carnival Limousine Plus 7 STR,"48,000 km  |  Diesel  |  T Nagar, Chennai",Rs. 27.99 Lakh
2021 Toyota Innova Crysta ZX 2.4 AT 7 STR,"77,000 km  |  Diesel  |  T Nagar, Chennai",Rs. 25 Lakh
2023 Kia Sonet HTK Plus 1.0 iMT [2020-2021],"23,000 km  |  Petrol  |  T Nagar, Chennai",Rs. 8.6 Lakh
2023 Kia Sonet HTK Plus 1.0 iMT [2020-2021],"23,000 km  |  Petrol  |  T Nagar, Chennai",Rs. 8.6 Lakh
2016 Volkswagen Jetta Highline TDI AT,"90,000 km  |  Diesel  |  T Nagar, Chennai",Rs. 9 Lakh
2021 Volkswagen T-Roc 1.5 TSI,"48,000 km  |  Petrol  |  T Nagar, Chennai",Rs. 18 Lakh
