Brand,Model,Features
Hyundai,Venue,S 1.2 Petrol [2023]
Tata,Nexon,XZA Plus (S) [2022-2023]
Kia,Sonet,HTX 1.0 iMT [2020-2021]
Hyundai,Creta,SX Plus 1.6 Petrol
Tata,Nexon,XZA Plus (O)
Tata,Harrier,XZA Plus Dual Tone
Hyundai,Creta,1.6 SX Plus AT Petrol
Tata,Nexon,XZA Plus (S) Dual tone
Maruti Suzuki,Alto 800,Lxi (Airbag) [2012-2015]
Ford,Ecosport,Titanium + 1.5L Ti-VCT AT
Hyundai,Verna,SX (O) 1.5 Turbo Petrol MT
Jeep,Compass,80 Anniversary 1.4 Petrol DCT
Tata,Harrier,Kaziranga XZA Plus
Volkswagen,Polo,Highline1.5L (D)
Maruti Suzuki,Swift,VXi
Hyundai,Santro,Sportz
Hyundai,Venue,SX 1.2 Petrol
Maruti Suzuki,Alto 800,Lxi (Airbag) [2012-2015]
MG,Hector,Sharp 1.5 DCT Petrol [2019-2020]
Tata,Nexon,XM
Tata,Punch,Creative AMT [2021-2023]
Tata,Nexon,XM (S) [2020-2023]
Maruti Suzuki,Alto 800,Lxi (Airbag) [2012-2015]
Maruti Suzuki,DZire,VXi AMT
Skoda,Slavia,Style 1.0L TSI AT
Skoda,Slavia,Ambition 1.0L TSI AT
Tata,Nexon,XZA Plus [2020-2023]
Skoda,Slavia,Monte Carlo 1.5L TSI DSG
Hyundai,Creta,SX Plus 1.6 Petrol
Maruti Suzuki,Alto 800,Vxi
Hyundai,Grand i10 Nios,Sportz 1.2 Kappa VTVT CNG
Kia,Sonet,HTX 1.0 iMT [2020-2021]
Skoda,Slavia,Style 1.0L TSI MT
Maruti Suzuki,Wagon R,LXi 1.0 CNG [2019-2020]
Hyundai,Grand i10 Nios,Sportz 1.2 Kappa CNG
Hyundai,Grand i10 Nios,Sportz 1.2 Kappa VTVT CNG
Hyundai,Grand i10 Nios,Sportz 1.2 Kappa VTVT CNG
Hyundai,Venue,SX Plus 1.0 Turbo DCT
Hyundai,Venue,SX Plus 1.0 Turbo DCT
Maruti Suzuki,Swift,VXi
Renault,Kiger,RXZ 1.0 Turbo MT
Renault,Kiger,RXZ Turbo CVT
Kia,Sonet,HTX 1.5 [2020-2021]
Maruti Suzuki,Alto 800,LXi
Tata,Altroz,XZ Plus i-Turbo Petrol
Tata,Altroz,XE Petrol [2020-2023]
Tata,Punch,Creative Dual Tone [2022-2023]
Mercedes-Benz,GLE,Coupe 43 4MATIC [2017-2019]
Land Rover,Discovery Sport,HSE Luxury 7-Seater
Jaguar,F-Pace,S R-Dynamic 2.0 Diesel [2021-2023]
Land Rover,Range Rover Velar,S R-Dynamic 2.0 Diesel
Land Rover,Discovery Sport,SE R-Dynamic
Land Rover,Discovery Sport,HSE Luxury 7-Seater
Land Rover,Range Rover Sport,SDV6 S
Mini,Cooper,S
Honda,WR-V,VX MT Petrol
Mercedes-Benz,E-Class,E 200
Land Rover,Range Rover,SV 4.4 Petrol LWB
Toyota,Land Cruiser,LC 200 VX
Toyota,Innova Crysta,2.4 Z 7 STR
Toyota,Fortuner,3.0 4x2 AT
